,Error
243,-10.07598876953125
244,-7.3077545166015625
245,-6.753448486328125
246,-9.03106689453125
247,-7.1016082763671875
248,-5.41131591796875
249,-2.5112152099609375
250,-8.846298217773438
251,-7.710205078125
252,-0.353668212890625
253,-12.366241455078125
254,-8.023483276367188
255,-1.7241973876953125
256,-1.7447052001953125
257,-7.642608642578125
258,-10.08868408203125
259,1.0989227294921875
260,-14.081512451171875
261,-0.083648681640625
262,-11.85760498046875
263,-1.3336029052734375
264,-6.298675537109375
265,-8.45208740234375
266,-3.685455322265625
267,-0.027069091796875
268,-7.873321533203125
269,-10.112594604492188
270,-4.3239593505859375
271,-3.1943206787109375
272,-3.5227203369140625
273,-11.046005249023438
274,-2.16357421875
275,-3.6154937744140625
276,-10.685623168945312
277,-10.063522338867188
278,-10.250442504882812
279,-2.9109344482421875
280,-10.558670043945312
281,-9.431411743164062
282,-9.212127685546875
283,-7.0717620849609375
284,-11.01702880859375
285,-4.0591583251953125
286,-14.36224365234375
287,-7.0069122314453125
288,-7.1279296875
289,-9.2696533203125
290,-11.163055419921875
291,-4.3471221923828125
292,-15.2205810546875
293,-6.387237548828125
294,-10.520339965820312
295,-1.2131805419921875
296,-11.418350219726562
297,-7.5452880859375
298,-8.123031616210938
299,-3.65289306640625
300,-8.454681396484375
301,-10.354324340820312
302,-8.143600463867188
303,-1.0733489990234375
304,-9.435379028320312
305,0.9516754150390625
306,-14.619522094726562
307,-7.3536529541015625
308,-1.5442657470703125
309,-5.9297637939453125
310,-6.490631103515625
311,-9.11676025390625
312,-2.7947235107421875
313,-12.721237182617188
314,-3.67535400390625
315,-6.8414306640625
316,-4.2147979736328125
317,-8.186416625976562
318,-3.5164794921875
319,-7.624908447265625
320,-4.0655975341796875
321,-12.176834106445312
322,-6.2390899658203125
323,-4.8925018310546875
324,-8.809402465820312
325,-10.04901123046875
326,-6.4524383544921875
327,-9.848541259765625
328,-5.158905029296875
329,-8.258392333984375
330,-11.449691772460938
331,-4.5696868896484375
332,-12.749221801757812
333,-8.75341796875
334,-7.640289306640625
335,-10.59820556640625
336,-6.4210205078125
337,-14.064773559570312
338,-9.21527099609375
339,-8.412567138671875
340,-10.754058837890625
341,-15.20819091796875
342,-6.886566162109375
343,-13.95953369140625
344,-6.282196044921875
345,-13.548065185546875
346,-8.665557861328125
347,-15.07763671875
348,-9.52178955078125
349,-9.56939697265625
350,-11.503570556640625
351,-7.03521728515625
352,-15.38897705078125
353,-10.0670166015625
354,-15.073760986328125
355,-11.63018798828125
356,-9.9090576171875
357,-10.0345458984375
358,-12.534210205078125
359,-11.247161865234375
360,-9.47540283203125
361,-11.825347900390625
362,-12.639923095703125
363,-8.9251708984375
364,-14.874725341796875
365,-8.656585693359375
366,-11.2183837890625
367,-9.486419677734375
368,-12.593597412109375
369,-12.72674560546875
370,-12.356201171875
371,-11.53704833984375
372,-9.3792724609375
373,-10.436248779296875
374,-18.309356689453125
375,-14.6470947265625
376,-9.51806640625
377,-11.860687255859375
378,-13.04876708984375
379,-9.819549560546875
380,-14.94366455078125
381,-14.57794189453125
382,-8.683868408203125
383,-14.581939697265625
384,-10.86639404296875
385,-13.468719482421875
386,-11.008270263671875
387,-13.240325927734375
388,-8.806396484375
389,-12.723297119140625
390,-12.84197998046875
391,-13.410736083984375
392,-15.157867431640625
393,-9.843292236328125
394,-8.209930419921875
395,-9.936798095703125
396,-14.307403564453125
397,-13.155853271484375
398,-9.97198486328125
399,-11.199066162109375
400,-6.221649169921875
401,-4.112030029296875
402,-16.420623779296875
403,-3.981414794921875
404,-18.91815185546875
405,3.127227783203125
406,-21.98748779296875
407,-6.67767333984375
408,-11.823455810546875
409,-8.843780517578125
410,-10.397247314453125
411,-9.123687744140625
412,-14.398590087890625
413,-13.89862060546875
414,-9.1822509765625
415,-14.9000244140625
416,-10.6370849609375
417,-12.0252685546875
418,-16.178192138671875
419,-8.732818603515625
420,-14.206817626953125
421,-14.398101806640625
422,-24.93634033203125
423,-7.393096923828125
424,-25.842041015625
425,-7.688079833984375
426,-25.5621337890625
427,-12.8388671875
428,-21.85931396484375
429,-14.516845703125
430,-20.54974365234375
431,-15.39288330078125
432,-14.50927734375
433,-22.155242919921875
434,-18.769378662109375
435,-15.511322021484375
436,-22.84149169921875
437,-14.66717529296875
438,-22.782806396484375
439,-17.67041015625
440,-15.6290283203125
441,-18.78521728515625
442,-18.371673583984375
443,-9.05743408203125
444,-30.462554931640625
445,-1.72589111328125
446,-25.958282470703125
447,-10.1531982421875
448,-12.408782958984375
449,-21.55084228515625
450,-18.993499755859375
451,-11.2987060546875
452,-16.4481201171875
453,-25.488433837890625
454,-6.356109619140625
455,-12.17694091796875
456,-26.878692626953125
457,2.255279541015625
458,-25.975830078125
459,-3.800323486328125
460,-27.065093994140625
461,-10.70819091796875
462,-16.424041748046875
463,-21.987823486328125
464,-10.112823486328125
465,-21.36297607421875
466,-11.557861328125
467,-17.036102294921875
468,-14.808380126953125
469,-10.812469482421875
470,-6.422760009765625
471,-19.118499755859375
472,-10.1055908203125
473,-13.65679931640625
474,-12.1783447265625
475,-15.627593994140625
476,3.056488037109375
477,-29.71710205078125
478,6.49456787109375
479,-23.0350341796875
480,-1.911041259765625
481,-8.887115478515625
482,-11.560882568359375
483,0.213653564453125
484,-23.317779541015625
485,-2.361114501953125
486,-19.491668701171875
487,-5.6348876953125
488,-9.979461669921875
489,-16.543975830078125
490,4.726776123046875
491,-26.552581787109375
492,3.628662109375
493,-21.76409912109375
494,-10.070404052734375
495,-0.5484619140625
496,-11.00360107421875
497,-11.91748046875
498,-14.46624755859375
499,-5.592254638671875
500,-4.0394287109375
501,-12.458831787109375
502,-8.66033935546875
503,-1.9698486328125
504,-27.9381103515625
505,0.168182373046875
506,-14.920654296875
507,-3.658721923828125
508,-19.699676513671875
509,-0.771392822265625
510,-9.8790283203125
511,-0.20123291015625
