,Error
0,-0.05984020233154297
1,-0.05950927734375
2,-0.059329986572265625
3,-0.0592193603515625
4,-0.05913829803466797
5,-0.059078216552734375
6,-0.059040069580078125
7,-0.05903434753417969
8,-0.059073448181152344
9,-0.05916023254394531
10,-0.059299468994140625
11,-0.05948925018310547
12,-0.059722900390625
13,-0.05999183654785156
14,-0.06028556823730469
15,-0.060596466064453125
16,-0.060912132263183594
17,-0.06122398376464844
18,-0.06152629852294922
19,-0.06181144714355469
20,-0.062076568603515625
21,-0.062320709228515625
22,-0.06254005432128906
23,-0.06273651123046875
24,-0.06290817260742188
25,-0.06305599212646484
26,-0.06318187713623047
27,-0.06328964233398438
28,-0.06338119506835938
29,-0.06345558166503906
30,-0.06351757049560547
31,-0.063568115234375
32,-0.06361007690429688
33,-0.0636434555053711
34,-0.06367015838623047
35,-0.06369209289550781
36,-0.013709068298339844
37,0.6351318359375
38,0.6163520812988281
39,0.4230918884277344
40,-0.8279638290405273
41,-0.2622489929199219
42,-0.09144115447998047
43,-0.08997344970703125
44,-0.10898685455322266
45,-0.11964988708496094
46,-0.12250041961669922
47,-0.12098884582519531
48,-0.11771011352539062
49,-0.11423778533935547
50,-0.11134052276611328
51,-0.10925483703613281
52,-0.1079263687133789
53,-0.1071767807006836
54,-0.10680866241455078
55,0.5533447265625
56,-0.10315227508544922
57,-0.20795536041259766
58,-0.17071533203125
59,-0.1411609649658203
60,0.49911975860595703
61,-0.11819744110107422
62,-0.8272027969360352
63,-0.8377151489257812
64,-0.7364673614501953
65,0.011798858642578125
66,0.05187225341796875
67,-0.031411170959472656
68,-1.4824399948120117
69,-0.7659292221069336
70,-0.6005878448486328
71,-0.6127872467041016
72,0.2586517333984375
73,-0.6567974090576172
74,0.1965179443359375
75,-0.6425399780273438
76,0.23134422302246094
77,0.24556541442871094
78,0.17288589477539062
79,-0.8170928955078125
80,-0.7768230438232422
81,-0.677001953125
82,-0.6468505859375
83,-0.6088485717773438
84,-0.1949024200439453
85,0.6012172698974609
86,0.46053314208984375
87,-0.8496017456054688
88,0.6187839508056641
89,-0.7748680114746094
90,0.7016792297363281
91,0.5666542053222656
92,0.5524330139160156
93,0.7278804779052734
94,0.4324226379394531
95,0.6008987426757812
96,0.5748424530029297
97,0.40219688415527344
98,0.40552711486816406
99,0.3988838195800781
100,0.38930320739746094
101,0.38166236877441406
102,0.37703514099121094
103,0.3752555847167969
104,0.37568092346191406
105,0.3774909973144531
106,0.38005828857421875
107,0.38292884826660156
108,0.38584136962890625
109,0.3886528015136719
110,0.3913078308105469
111,-0.9562301635742188
112,0.6183032989501953
113,1.918304443359375
114,1.579345703125
115,-1.1036453247070312
116,-0.7236766815185547
117,-0.7530193328857422
118,-0.6892986297607422
119,-0.6480865478515625
120,-0.6045265197753906
121,1.0518836975097656
122,0.7984466552734375
123,0.8161468505859375
124,0.838287353515625
125,0.8501358032226562
126,0.44629669189453125
127,0.90472412109375
128,-0.7291755676269531
129,1.075531005859375
130,0.6789665222167969
131,0.36098480224609375
132,0.9204444885253906
133,0.8431282043457031
134,0.8503303527832031
135,0.8446540832519531
136,-0.6635093688964844
137,1.0684585571289062
138,0.8351173400878906
139,0.865631103515625
140,0.8654975891113281
141,0.8692893981933594
142,0.8665771484375
143,0.8605194091796875
144,0.8514633178710938
145,0.8412284851074219
146,0.8311042785644531
147,0.8219451904296875
148,0.8141365051269531
149,0.8078231811523438
150,0.8029632568359375
151,0.7994461059570312
152,0.7970733642578125
153,0.7956733703613281
154,0.7950897216796875
155,0.7951316833496094
156,0.7956771850585938
157,0.7965736389160156
158,0.7977027893066406
159,0.7989578247070312
160,0.8002891540527344
161,0.801605224609375
162,0.8028793334960938
163,0.8040542602539062
164,0.8051490783691406
165,0.8061103820800781
166,0.8069648742675781
167,0.8076934814453125
168,0.8083305358886719
169,1.2588577270507812
170,0.7427330017089844
171,-1.0925559997558594
172,1.0658454895019531
173,0.8039016723632812
174,0.863189697265625
175,0.878692626953125
176,0.8979606628417969
177,0.9064712524414062
178,0.9089508056640625
179,0.905670166015625
180,0.8989906311035156
181,0.890594482421875
182,0.8817100524902344
183,0.8731231689453125
184,0.8652381896972656
185,0.8583221435546875
186,0.8524169921875
187,0.8475341796875
188,0.8436470031738281
189,0.8406600952148438
190,0.8384933471679688
191,0.8370094299316406
192,0.7861137390136719
193,0.8424797058105469
194,0.8353462219238281
195,0.8377952575683594
196,0.838653564453125
197,0.8397140502929688
198,0.4904899597167969
199,1.2386817932128906
200,0.791412353515625
201,2.8582000732421875
202,0.570404052734375
203,0.8609046936035156
204,0.76715087890625
205,0.7454681396484375
206,0.7223052978515625
207,0.7119598388671875
208,0.710174560546875
209,0.7159080505371094
210,0.7260513305664062
211,0.7381629943847656
212,2.650524139404297
213,0.4759864807128906
214,0.7563400268554688
215,0.7031745910644531
216,1.8918838500976562
217,2.2055397033691406
218,0.40869903564453125
219,0.5804252624511719
220,0.55169677734375
221,0.7347869873046875
222,0.4947967529296875
223,2.164468765258789
224,1.8229122161865234
225,1.6908493041992188
226,1.6142463684082031
227,1.4744300842285156
228,0.12932395935058594
229,1.4415607452392578
230,0.09954643249511719
231,0.10451698303222656
232,0.15195655822753906
233,1.3680152893066406
234,0.04713630676269531
235,0.07425880432128906
236,1.257965087890625
237,1.024444580078125
238,-0.4521656036376953
239,0.698394775390625
240,-0.8670597076416016
241,0.2669181823730469
242,-0.777740478515625
243,1.494913101196289
244,1.244314193725586
245,-0.9854183197021484
246,0.1695537567138672
247,-0.6729907989501953
248,0.40799522399902344
249,0.3898963928222656
250,0.41306495666503906
251,0.22635650634765625
252,0.7293586730957031
253,1.278787612915039
254,0.9595661163330078
255,-0.0073528289794921875
256,0.035106658935546875
257,0.9025630950927734
258,-0.7467193603515625
259,0.06812286376953125
260,1.1536636352539062
261,0.03126335144042969
262,-0.03359413146972656
263,0.028104782104492188
264,0.059017181396484375
265,0.07033157348632812
266,0.07386589050292969
267,1.025289535522461
268,0.003936767578125
269,-0.00228118896484375
270,0.007228851318359375
271,0.03243064880371094
272,0.04265785217285156
273,-0.8567752838134766
274,-0.7919101715087891
275,-0.6951980590820312
276,-0.6544303894042969
277,-0.6336097717285156
278,-0.3132781982421875
279,0.5128707885742188
280,-0.7501773834228516
281,0.5223464965820312
282,-0.03901481628417969
283,0.42877197265625
284,-0.5595569610595703
285,0.8752937316894531
286,0.4425373077392578
287,0.40471839904785156
288,0.3995189666748047
289,0.3925895690917969
290,0.18427467346191406
291,1.7057132720947266
292,1.2383174896240234
293,0.051670074462890625
294,1.3395442962646484
295,0.7049121856689453
296,0.15613746643066406
297,1.08807373046875
298,0.029048919677734375
299,-0.9345493316650391
300,-0.9421825408935547
301,-0.8202991485595703
302,0.4462757110595703
303,-0.8458194732666016
304,-0.7883090972900391
305,-0.6674518585205078
306,2.1542739868164062
307,0.3015575408935547
308,0.38350486755371094
309,1.7350959777832031
310,0.23514366149902344
311,0.3246917724609375
312,0.36098480224609375
313,-0.8474044799804688
314,1.8065032958984375
315,0.24405670166015625
316,0.24233245849609375
317,0.2846393585205078
318,0.29699134826660156
319,-0.9491710662841797
320,-0.8136005401611328
321,-0.6040687561035156
322,2.1805763244628906
323,1.6308612823486328
324,1.296274185180664
325,-1.1084213256835938
326,0.7561626434326172
327,-0.5443153381347656
328,1.1529064178466797
329,0.8882884979248047
330,-0.009187698364257812
331,1.173685073852539
332,0.5178394317626953
333,-0.1352519989013672
334,-0.8910732269287109
335,0.7890262603759766
336,-0.9198780059814453
337,1.3886089324951172
338,-0.7765560150146484
339,1.1708660125732422
340,1.7153759002685547
341,0.9193878173828125
