Stock,Date,Open,Close,High,Low,Volume,Open to Close
RELIANCE.NS,2022-05-27,2593.050048828125,2575.10009765625,2605.14990234375,2540.10009765625,7624888,17.949951171875
TCS.NS,2022-05-27,3253.199951171875,3261.300048828125,3278.89990234375,3229.199951171875,3103153,-8.10009765625
HDFCBANK.NS,2022-05-27,1371.800048828125,1392.050048828125,1394.699951171875,1370.75,12015859,-20.25
INFY.NS,2022-05-27,1443.949951171875,1461.3499755859375,1467,1437.4000244140625,8284860,-17.4000244140625
HINDUNILVR.NS,2022-05-27,2297,2330.60009765625,2334.89990234375,2280.5,1011303,-33.60009765625
ICICIBANK.NS,2022-05-27,733.5499877929688,739.7999877929688,741.2000122070312,731.25,8110620,-6.25
HDFC.NS,2022-05-27,2304.60009765625,2330.39990234375,2334.25,2300.300048828125,2257207,-25.7998046875
BAJFINANCE.NS,2022-05-27,5900,5993.5,6077,5861.0498046875,1625805,-93.5
SBIN.NS,2022-05-27,471.3999938964844,468.95001220703125,475,467.5,10977001,2.449981689453125
WIPRO.NS,2022-05-27,460,466.95001220703125,467.95001220703125,456.25,5707236,-6.95001220703125
BHARTIARTL.NS,2022-05-27,697.0499877929688,684.4000244140625,700,676,7131633,12.64996337890625
HCLTECH.NS,2022-05-27,989,1003.9000244140625,1010.4500122070312,989,2795530,-14.9000244140625
KOTAKBANK.NS,2022-05-27,1921,1946.199951171875,1950,1913,2440367,-25.199951171875
ASIANPAINT.NS,2022-05-27,2868,2834.85009765625,2869,2781,1879534,33.14990234375
DMART.NS,2022-05-27,3605,3613.85009765625,3649,3586,199688,-8.85009765625
ITC.NS,2022-05-27,269,269.20001220703125,270.70001220703125,265.04998779296875,13468067,-0.20001220703125
LT.NS,2022-05-27,1575.199951171875,1600.300048828125,1606,1574,1279218,-25.10009765625
BAJAJFINSV.NS,2022-05-27,12650,12758.400390625,12890,12604.5498046875,329534,-108.400390625
MARUTI.NS,2022-05-27,7925,7942.9501953125,7965.89990234375,7833,431411,-17.9501953125
TITAN.NS,2022-05-27,2155,2149.199951171875,2159.949951171875,2123.39990234375,865917,5.800048828125
ULTRACEMCO.NS,2022-05-27,5905,5948,5976.5,5886.0498046875,290626,-43
AXISBANK.NS,2022-05-27,689,688.2999877929688,693.7999877929688,684.25,5539060,0.70001220703125
ADANIGREEN.NS,2022-05-27,2217,2166.449951171875,2219,2140,664373,50.550048828125
SUNPHARMA.NS,2022-05-27,901.9500122070312,903.9000244140625,912.7999877929688,896,2374509,-1.95001220703125
ADANITRANS.NS,2022-05-27,2210,2186.25,2220,2093.050048828125,179723,23.75
ATGL.NS,2022-05-27,2440,2456.449951171875,2485.75,2360,308232,-16.449951171875
ADANIENT.NS,2022-05-27,2080,2080.14990234375,2094.300048828125,2047.699951171875,1354005,-0.14990234375
ONGC.NS,2022-05-27,155,143.8000030517578,155.5,141.10000610351562,52469252,11.199996948242188
TECHM.NS,2022-05-27,1095,1123.25,1126.199951171875,1092,3367600,-28.25
TATAMOTORS.NS,2022-05-27,426.04998779296875,429.6000061035156,433.25,425.20001220703125,16867431,-3.550018310546875
JSWSTEEL.NS,2022-05-27,558,548.4000244140625,561.2999877929688,539.4000244140625,5193961,9.5999755859375
ADANIPORTS.NS,2022-05-27,714.0999755859375,703.0999755859375,714.0999755859375,697,5815428,11.0
POWERGRID.NS,2022-05-27,228.60000610351562,224.6999969482422,228.64999389648438,223.39999389648438,6322869,3.9000091552734375
TATASTEEL.NS,2022-05-27,1062.5,1043.5,1067.6500244140625,1032,7477220,19.0
HINDZINC.NS,2022-05-27,302.3999938964844,296.29998779296875,303,295.3999938964844,439604,6.100006103515625
HDFCLIFE.NS,2022-05-27,582,598.0999755859375,604.2999877929688,577.4000244140625,8795852,-16.0999755859375
LTI.NS,2022-05-27,3950,3998,4007.699951171875,3892.050048828125,461722,-48
VEDL.NS,2022-05-27,316,307.8500061035156,319.04998779296875,303.45001220703125,11035458,8.149993896484375
PIDILITIND.NS,2022-05-27,2150.300048828125,2163.5,2168.85009765625,2138.199951171875,170206,-13.199951171875
DIVISLAB.NS,2022-05-27,3505,3514.699951171875,3538.64990234375,3451.60009765625,900885,-9.699951171875
