Stock,Date,Open,Close,High,Low,Volume,Open to Close
RELIANCE.NS,2022-05-23,2631.5,2606.89990234375,2653.550048828125,2593,7039144,24.60009765625
TCS.NS,2022-05-23,3304.800048828125,3321.75,3338.89990234375,3267,2293690,-16.949951171875
HDFCBANK.NS,2022-05-23,1314,1304,1329.949951171875,1299.0999755859375,9743160,10
INFY.NS,2022-05-23,1455.0999755859375,1468.4000244140625,1488,1450.050048828125,5887569,-13.300048828125
HINDUNILVR.NS,2022-05-23,2309,2379.800048828125,2388,2306.35009765625,2363306,-70.800048828125
ICICIBANK.NS,2022-05-23,709.5499877929688,711.0499877929688,725.9500122070312,707.4500122070312,17438451,-1.5
HDFC.NS,2022-05-23,2217.699951171875,2175.949951171875,2221,2165.199951171875,3630816,41.75
BAJFINANCE.NS,2022-05-23,5825,5794,5906.25,5771.2001953125,968021,31
SBIN.NS,2022-05-23,463.1000061035156,460.8999938964844,471.3999938964844,459.5,13499415,2.20001220703125
WIPRO.NS,2022-05-23,463.79998779296875,466,467.79998779296875,457.5,7055784,-2.20001220703125
BHARTIARTL.NS,2022-05-23,681.7999877929688,685.8499755859375,693.9000244140625,679.5999755859375,3788601,-4.04998779296875
HCLTECH.NS,2022-05-23,1023,1018.2999877929688,1037,1014.75,2285466,4.70001220703125
KOTAKBANK.NS,2022-05-23,1852,1854.300048828125,1871.5,1841.25,2826078,-2.300048828125
ASIANPAINT.NS,2022-05-23,3143.949951171875,3174.199951171875,3188,3130.050048828125,813294,-30.25
DMART.NS,2022-05-23,3650,3574.10009765625,3694.5,3552.050048828125,258246,75.89990234375
ITC.NS,2022-05-23,280,274.5,280.45001220703125,273.04998779296875,21700165,5.5
LT.NS,2022-05-23,1629,1644.1500244140625,1660,1605.5999755859375,4177811,-15.1500244140625
BAJAJFINSV.NS,2022-05-23,12650,12572.900390625,12794,12500,278886,77.099609375
MARUTI.NS,2022-05-23,7800.10009765625,7897.4501953125,7954.85009765625,7776.10009765625,1161175,-97.35009765625
TITAN.NS,2022-05-23,2160,2151.300048828125,2200,2138,1346294,8.699951171875
ULTRACEMCO.NS,2022-05-23,6174,5916.2998046875,6224,5900,528566,257.7001953125
AXISBANK.NS,2022-05-23,673,675.3499755859375,684.7999877929688,668.5499877929688,7919353,-2.3499755859375
ADANIGREEN.NS,2022-05-23,2299,2248.35009765625,2324.89990234375,2231.050048828125,633157,50.64990234375
SUNPHARMA.NS,2022-05-23,920,922.0499877929688,931.2999877929688,916.5999755859375,2195036,-2.04998779296875
ADANITRANS.NS,2022-05-23,2313,2199.199951171875,2319.89990234375,2195.449951171875,225607,113.800048828125
ATGL.NS,2022-05-23,2400,2331.60009765625,2434.699951171875,2311.199951171875,292937,68.39990234375
ADANIENT.NS,2022-05-23,2231.75,2170.64990234375,2245,2155.64990234375,1455450,61.10009765625
ONGC.NS,2022-05-23,161.75,155.10000610351562,164.1999969482422,154.64999389648438,18029557,6.649993896484375
TECHM.NS,2022-05-23,1134,1142.9000244140625,1147.800048828125,1115.6500244140625,2783695,-8.9000244140625
TATAMOTORS.NS,2022-05-23,421.6499938964844,421.45001220703125,431.1499938964844,419.54998779296875,16345308,0.199981689453125
JSWSTEEL.NS,2022-05-23,594,547.5499877929688,594,537.5,17554373,46.45001220703125
ADANIPORTS.NS,2022-05-23,774.8499755859375,753.5499877929688,779.9000244140625,751.25,4787481,21.29998779296875
POWERGRID.NS,2022-05-23,232,224.60000610351562,232,224.1999969482422,8679376,7.399993896484375
TATASTEEL.NS,2022-05-23,1097,1022.9500122070312,1097,1001.5499877929688,27388346,74.04998779296875
HINDZINC.NS,2022-05-23,292,299.25,300,286.20001220703125,741139,-7.25
HDFCLIFE.NS,2022-05-23,544,551.1500244140625,556.2000122070312,542.6500244140625,3094798,-7.1500244140625
LTI.NS,2022-05-23,4052,4147.14990234375,4170.10009765625,4010.85009765625,437040,-95.14990234375
VEDL.NS,2022-05-23,307,305.6499938964844,311.5,292.70001220703125,18449758,1.350006103515625
PIDILITIND.NS,2022-05-23,2155,2188.75,2229,2140.25,893892,-33.75
DIVISLAB.NS,2022-05-23,4323,3897.89990234375,4438.7998046875,3874.35009765625,2180936,425.10009765625
