Stock,Date,Open,Close,High,Low,Volume,Open to Close
RELIANCE.NS,24-05-2022,2607,2615.850098,2638,2597.699951,6243086,-8.850097656
TCS.NS,24-05-2022,3315.149902,3288,3324.850098,3275.600098,1711510,27.14990234
HDFCBANK.NS,24-05-2022,1300,1318.949951,1325,1296.900024,6435398,-18.94995117
INFY.NS,24-05-2022,1468.599976,1441,1469.550049,1435.25,5693167,27.59997559
HINDUNILVR.NS,24-05-2022,2380,2309.649902,2380,2302.050049,3078655,70.35009766
ICICIBANK.NS,24-05-2022,711.0499878,708.1500244,717.3499756,706.0499878,13779981,2.899963379
HDFC.NS,24-05-2022,2167.75,2206.800049,2226,2158.100098,3778065,-39.05004883
BAJFINANCE.NS,24-05-2022,5783,5798.799805,5833,5725,1084069,-15.79980469
SBIN.NS,24-05-2022,462.3999939,462.0499878,466.7999878,460.2000122,17175179,0.350006104
WIPRO.NS,24-05-2022,468.4500122,459.9500122,469.6000061,458,6889730,8.5
BHARTIARTL.NS,24-05-2022,689.25,678.2000122,689.25,675.8499756,4053608,11.04998779
HCLTECH.NS,24-05-2022,1022.049988,991.75,1022.400024,987,3418456,30.29998779
KOTAKBANK.NS,24-05-2022,1857.949951,1882.599976,1890,1842.800049,3421900,-24.65002441
ASIANPAINT.NS,24-05-2022,3174.75,3086.850098,3183.649902,3070,691307,87.89990234
DMART.NS,24-05-2022,3579.949951,3656.75,3685,3571.199951,391193,-76.80004883
ITC.NS,24-05-2022,275,270.8500061,275,270,15547968,4.149993896
LT.NS,24-05-2022,1644.800049,1626.300049,1653.699951,1610.099976,1970395,18.5
BAJAJFINSV.NS,24-05-2022,12590,12357.2998,12621.7998,12287.75,255475,232.7001953
MARUTI.NS,24-05-2022,7919,7802.649902,7941.950195,7791.299805,581609,116.3500977
TITAN.NS,24-05-2022,2151.649902,2140.25,2165,2121.350098,1150314,11.39990234
ULTRACEMCO.NS,24-05-2022,5947.950195,5868.049805,5957.600098,5833.649902,458962,79.90039063
AXISBANK.NS,24-05-2022,669.7000122,664.0499878,681.4500122,661.2000122,8088546,5.650024414
ADANIGREEN.NS,24-05-2022,2269,2136.300049,2274.75,2114,868519,132.6999512
SUNPHARMA.NS,24-05-2022,928,909.9000244,930.8499756,907,2911410,18.09997559
ADANITRANS.NS,24-05-2022,2220,2196.5,2229.449951,2122.100098,195577,23.5
ATGL.NS,24-05-2022,2377,2328.25,2394.949951,2290,295781,48.75
ADANIENT.NS,24-05-2022,2161,2160.199951,2178.899902,2142.550049,1008943,0.800048828
ONGC.NS,24-05-2022,157.3999939,150.6499939,157.75,150.1499939,19141394,6.75
TECHM.NS,24-05-2022,1148,1098.349976,1151.849976,1091,3666196,49.65002441
TATAMOTORS.NS,24-05-2022,423.8999939,425.75,427.5,416,14525617,-1.850006104
JSWSTEEL.NS,24-05-2022,548.9500122,539.7000122,556.4000244,537.25,7517949,9.25
ADANIPORTS.NS,24-05-2022,756.5999756,752.1500244,764.7999878,747.5,4653281,4.449951172
POWERGRID.NS,24-05-2022,225,227,229.6499939,224.6000061,12252644,-2
TATASTEEL.NS,24-05-2022,1031,1006.349976,1039.900024,1002,12311666,24.65002441
HINDZINC.NS,24-05-2022,300,295.3999939,304.9500122,292.2999878,365786,4.600006104
HDFCLIFE.NS,24-05-2022,551.1500244,552.9000244,556,545.6500244,3835802,-1.75
LTI.NS,24-05-2022,4160,4010.149902,4183.950195,3988.300049,491561,149.8500977
VEDL.NS,24-05-2022,307.6499939,305.5,316.8999939,303.1499939,11923967,2.149993896
PIDILITIND.NS,24-05-2022,2189,2172.550049,2215,2158.25,301307,16.44995117
DIVISLAB.NS,24-05-2022,3894,3661.699951,3912.5,3650,4971455,232.3000488
