Stock,Date,Open,Close,High,Low,Volume,Open to Close
RELIANCE.NS,2022-05-25,2635,2612,2656.699951171875,2601.5,5867760,23
TCS.NS,2022-05-25,3292.85009765625,3167.64990234375,3292.85009765625,3154.050048828125,3548046,125.2001953125
HDFCBANK.NS,2022-05-25,1330,1328.800048828125,1335.949951171875,1323.199951171875,6443556,1.199951171875
INFY.NS,2022-05-25,1435,1410.449951171875,1442.5,1399.25,9630092,24.550048828125
HINDUNILVR.NS,2022-05-25,2329.949951171875,2298.699951171875,2329.949951171875,2286.5,1884260,31.25
ICICIBANK.NS,2022-05-25,712.0499877929688,713.3499755859375,720.8499755859375,711.5999755859375,10457589,-1.29998779296875
HDFC.NS,2022-05-25,2217.85009765625,2237.449951171875,2251.14990234375,2216.050048828125,3147555,-19.599853515625
BAJFINANCE.NS,2022-05-25,5839,5827.39990234375,5877.7001953125,5801.7998046875,867598,11.60009765625
SBIN.NS,2022-05-25,461,454.1000061035156,464.45001220703125,452.04998779296875,12728644,6.899993896484375
WIPRO.NS,2022-05-25,460.1499938964844,444.8500061035156,460.8500061035156,443.20001220703125,7740753,15.29998779296875
BHARTIARTL.NS,2022-05-25,681.25,688.2000122070312,689.9000244140625,679.5499877929688,4188088,-6.95001220703125
HCLTECH.NS,2022-05-25,992,974.4500122070312,992.7999877929688,963,3904551,17.54998779296875
KOTAKBANK.NS,2022-05-25,1897.8499755859375,1907.550048828125,1941.5,1886.300048828125,6252602,-9.7000732421875
ASIANPAINT.NS,2022-05-25,3039,2838.050048828125,3039,2826.300048828125,3381427,200.949951171875
DMART.NS,2022-05-25,3670,3586.449951171875,3694,3555.64990234375,224375,83.550048828125
ITC.NS,2022-05-25,272.95001220703125,272.70001220703125,273.8999938964844,270.5,15288648,0.25
LT.NS,2022-05-25,1633,1574.75,1639.699951171875,1571.0999755859375,1417130,58.25
BAJAJFINSV.NS,2022-05-25,12445,12406.0498046875,12588.099609375,12333,217599,38.9501953125
MARUTI.NS,2022-05-25,7840,7787.25,7859.5,7696.0498046875,454335,52.75
TITAN.NS,2022-05-25,2160,2113.39990234375,2181,2106,1125068,46.60009765625
ULTRACEMCO.NS,2022-05-25,5894,5792.2001953125,5979,5778.25,571568,101.7998046875
AXISBANK.NS,2022-05-25,668,665,672.6500244140625,660.0499877929688,5169619,3
ADANIGREEN.NS,2022-05-25,2171,2187.35009765625,2245,2132,1366317,-16.35009765625
SUNPHARMA.NS,2022-05-25,915,911.2000122070312,922.6500244140625,907.25,2405811,3.79998779296875
ADANITRANS.NS,2022-05-25,2206,2087.949951171875,2206,2086.699951171875,152652,118.050048828125
ATGL.NS,2022-05-25,2315,2216.949951171875,2328,2185.699951171875,304532,98.050048828125
ADANIENT.NS,2022-05-25,2168,2074.14990234375,2181.449951171875,2066.199951171875,1382448,93.85009765625
ONGC.NS,2022-05-25,152.89999389648438,152.60000610351562,153.25,147.60000610351562,19366472,0.29998779296875
TECHM.NS,2022-05-25,1091.050048828125,1060.1500244140625,1094.9000244140625,1045,4711542,30.9000244140625
TATAMOTORS.NS,2022-05-25,428.45001220703125,417,429,413.45001220703125,13540006,11.45001220703125
JSWSTEEL.NS,2022-05-25,541.9000244140625,528.4500122070312,545,521,4725882,13.45001220703125
ADANIPORTS.NS,2022-05-25,735,707.9000244140625,743.9500122070312,705.4000244140625,7699306,27.0999755859375
POWERGRID.NS,2022-05-25,228.39999389648438,224.85000610351562,229.39999389648438,222.5500030517578,8296961,3.54998779296875
TATASTEEL.NS,2022-05-25,1006.3499755859375,999.0999755859375,1018.3499755859375,991.7999877929688,9934340,7.25
HINDZINC.NS,2022-05-25,295.5,304.5,318,290.20001220703125,5949768,-9.0
HDFCLIFE.NS,2022-05-25,557.7000122070312,569.0999755859375,571.5499877929688,556.5999755859375,5339885,-11.39996337890625
LTI.NS,2022-05-25,4000,3823.699951171875,4004.300048828125,3805,717220,176.300048828125
VEDL.NS,2022-05-25,307.04998779296875,304.8500061035156,310.45001220703125,300.1000061035156,10971726,2.199981689453125
PIDILITIND.NS,2022-05-25,2180,2139.39990234375,2182.60009765625,2102.550048828125,518586,40.60009765625
DIVISLAB.NS,2022-05-25,3686,3519.35009765625,3705.300048828125,3497.25,1567485,166.64990234375
